dataset,model,rmse,mse,pearson,spearman,ci
davis,GINConvNet,1.091,1.189,0.321,0.307,0.662
davis,GATNet,0.979,0.959,-0.028,-0.055,0.471
davis,GAT_GCN,1.158,1.34,0.065,0.079,0.541
davis,GCNNet,1.058,1.12,-0.065,-0.062,0.467
davis,ensemble,1.016,1.033,0,-0.012
davis,weighted ensemble,1.041,1.083,0,0.206
